Tweet ID,Tweet Text,Tweet Label
'524931324763992064,Very reliable source on Parliament Hill tells me the assailant has been killed . #cdnpoli #ottnews <end>,rumours
'544519694401941504,BREAKING : 2 people killed and 3 in serious condition as hostage siege at Sydney café ends - - Australian broadcaster . $URL$ <end>,rumours
'552805596198871040,"Video footage of the the Paris shooting from French TV , via @nycjim , including a shout of Allahu akbar $URL$ <end>",rumours
'524971124845985792,My heart aches for the family of the Canadian Soldier murdered this morning in Ottawa . RIP ❤ ️ <end>,rumours
'500160181184249856,That iconic #Ferguson photo reminds me of somewhere . The West Bank . $URL$ <end>,non-rumours
'498255816034893824,"America doesn't think we're human , the world doesn't think we're human , and cops don't get punished for killing us for no reason . #ferguson <end>",non-rumours
'552829637215408128,I am devastated by what just happened in France . #CharlieHebdo $URL$ <end>,non-rumours
'524942353355005952,#canada unreal . --> Footage from Globe reporter captures exchange of gun fire in Parliament Hill building $URL$ <end>,rumours
'552810249263259649,"Second thought : Only way to pay respect to those who died is by defending the rights that Charlie Hebdo defended , and in as upfront a way . <end>",non-rumours
'500386978467414016,We will be free when we learn to stand together and fight . #allthatandabagofchips ( based on a photo from #ferguson ) $URL$ <end>,non-rumours
'580328302939889664,R . I . P . My sincere condolences to @germanwings colleagues and families . $URL$ <end>,non-rumours
'580344006682505216,#Germanwings #4U9525 crash & response sites & LIVE UPDATES & reactions $URL$ $URL$ <end>,non-rumours
'525025329916948481,"#BREAKING : Soldier shot dead in Ottawa attack identified as Hamilton , Ontario-based reservist Cpl . Nathan Cirillo . #OttawaShooting <end>",rumours
'544337283801829376,"My thoughts are with the hostages , their families and everyone in Sydney right now . <end>",non-rumours
'553227220765130752,A 60 - second tribute to the victims of the #CharlieHebdo attack $URL$ $URL$ <end>,non-rumours
'553215305917665280,“ The paper will continue because they didn ’ t win . ” #CharlieHebdo vows to continue publishing $URL$ $URL$ <end>,non-rumours
'499691556652449792,Those people in #Ferguson must think they have some kind of constitutional right to protest or something . <end>,non-rumours
'553540617540624385,"Reports that the Jewish community in #France going in to lockdown . Shops , synagogues , schools etc . #ParisShooting #CharlieHebdo <end>",rumours
'524975552638504960,BREAKING : NHL postpones tonight's Senators-Leafs game in Ottawa <end>,rumours
'544354657385316352,BREAKING : 2 people have run out of Sydney building where a hostage situation is unfolding . <end>,rumours
'525031558949134336,CBS reports Ottawa shooting suspect was born in Quebec as Michael Joseph Hall . He's a recent convert to Islam - $URL$ <end>,rumours
'524946336190586880,"UPDATE : Police : "" Several shooting incidents "" being investigated in downtown Ottawa : $URL$ $URL$ <end>",rumours
'544409432600223744,A hostage runs towards a police officer outside Lindt cafe #SydneySiege #SydneyCafeSiege $URL$ <end>,rumours
'524951711941922818,"BREAKING : CTV Ottawa confirms there were 3 separate shootings . One on Parliament Hill , one at National War Memorial , one near Rideau Centre <end>",rumours
'580364236330762240,BREAKING : Germanwings crew did not send distress signal : aviation official - @AFP <end>,rumours
'552832169496694786,What the Quran actually commands Muslims to do when it or the Prophet ﷺ are ridiculed . #CharlieHebdo #ParisShooting $URL$ <end>,non-rumours
'553151132949053440,→ $URL$ 433 Charlie Hebdo shooting : World leaders condemn attack in Paris #CharlieHebdo Masked gunm … $URL$ <end>,non-rumours
'552784898743099392,Charlie Hebdo ’ s Last Tweet Before Shootings $URL$ $URL$ <end>,non-rumours
'524940077978640384,Police say the shooter is on roof of building at Metcalfe and Sparks 1 block from Parliament Hill #ottnews #cbcott $URL$ <end>,rumours
'500354853680340993,Boom RT @newsneighbor Why was #Ferguson PD still looking for the suspect 7 hours after Michael Brown had been killed ? $URL$ <end>,rumours
'544325896661114881,"NSW police commissioner : Suspect holding "" undisclosed "" number of hostages in Sydney ; situation contained - @9NewsAUS $URL$ <end>",non-rumours
'553591411602640896,"Suspects in Charlie Hebdo attack killed after hostage situation northeast of Paris , police sources say - @AP , @AFP $URL$ <end>",non-rumours
'524931019745812480,DEVELOPING STORY : Soldier shot in #Ottawa at War Memorial . $URL$ $URL$ <end>,rumours
'553543319423553537,"If rightwing radical Christians were killing people in U . S . & Europe , would the hard left be bleating about Christianophobia ? #JeSuisCharlie <end>",non-rumours
'553104539898089472,This is what Paris looked like last night #charliehebdo $URL$ $URL$ <end>,non-rumours
'544516240572940289,#BREAKING : #Sydneysiege latest : * Armed police have stormed cafe * Multiple hostages freed * Paramedics entered scene $URL$ <end>,non-rumours
'580327418084364288,The route of the Germanwings Airbus A320 plane which has crashed . Updates of #alpscrash here : $URL$ $URL$ <end>,non-rumours
'553194557316542465,Pencil sketch tribute ... #JeSuisCharlie $URL$ <end>,non-rumours
'524970444156571648,Our thoughts are with our friends in Ottawa . Stay safe everyone . <end>,non-rumours
'525030696738652160,Canadian soldier killed in Ottawa identified $URL$ / / #CDNpoli #OttawaShooting $URL$ <end>,rumours
'552812140479148032,"If we hate after atrocities like this , we're doing exactly what the perpetrators want us to do #CharlieHebdo <end>",non-rumours
'552786016906383360,BREAKING : Paris : 10 dead in attack on satirical paper that poked fun at Mohammed $URL$ #CharlieHebdo $URL$ <end>,rumours
'552796522904297472,"We don't know who carried out Charlie Hebdo attack . However if they were Muslims , then they are the enemies of me and most other Muslims . <end>",non-rumours
'544436279442546688,#illridewithyou is the best thing to come out of all the shit that happened in Sydney today . Proud to see Aussies looking after eachother . <end>,non-rumours
'581404604677660673,#Germanwings Co Pilot New Muslim Convert Islamic State Praises Their Hero #WakeUpAmerica 🇺 🇸 $URL$ $URL$ <end>,rumours
'544345465311879170," Police urge the media to be responsible in their reporting  , so the Daily Tele produced this . #SydneySiege $URL$ <end>",non-rumours
'525025695425380352,"Hamilton Argylls soldier , Nathan Cirillo , on the right in this picture , dies in Ottawa attack $URL$ $URL$ <end>",rumours
'499687274326786049,"Vet to #Ferguson cops : "" Go ahead and shoot me ! "" $URL$ $URL$ <end>",non-rumours
'553583035820802048,"Smoke is emerging from building at site of hostage situation . Gunshots , loud blasts heard . $URL$ #CharlieHebdo <end>",non-rumours
'580387098039046145,"Reports of "" moving body "" amidst #Germanwings wreckage #A320 $URL$ $URL$ <end>",rumours
'552810804186460161,#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports $URL$ $URL$ <end>,rumours
'553512735192141826,Update - AFP : an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack <end>,rumours
'544470979842281472,"Dear Media , You might want to know that Imphal has more Indians than Sydney and there has been a terror attack there too . <end>",non-rumours
'544351133120987136,Fire door is still open . SWAT police at its opening . Three people freed . #sydneysiege <end>,rumours
'524949435886096385,Keep advice from the Breaking News Consumers ' Handbook in mind as coverage of Ottawa continues $URL$ $URL$ <end>,non-rumours
'524952808110694400,#Leafs are currently in lockdown mode in a hotel in downtown #Ottawa . <end>,non-rumours
'499674991294951424,"Crowd near site of shooting chants "" hands up , don't shoot . "" #Ferguson $URL$ <end>",non-rumours
'552795693682032640,Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo $URL$ <end>,rumours
'580356429615337472,Germanwings flight #4U9525 crashes in French Alps : plane was at low altitude when ' mayday ' call received - live $URL$ <end>,rumours
'544472800379940864,The #sydneysiege just entered its 14th hour . Love & prayers to the hostages and their families . Stay Strong . <end>,non-rumours
'553231516290269184,Pictures From #CharlieHebdo Solidarity Vigils Across The Globe $URL$ $URL$ <end>,non-rumours
'553547659404148736,URGENT : French police release names and mug shots of suspects in Montrouge shooting $URL$ $URL$ <end>,non-rumours
'552805450350362625,"#CharlieHebdo Satire was the father of true political freedom , born in the 18th century ; the scourge of bigots and tyrants . Sing its praises <end>",non-rumours
'524922499466022913,Passersby working on shooting victim . From the CBC's Jason Ho . #cbcOTT #OTTnews $URL$ <end>,non-rumours
'544505447911149569,"US police needs to learn from Aussie police in dealing with crisis . Patience and negotiations , not shoot first think later #sydneysiege <end>",non-rumours
'553556643456507904,Armed French Police At Trocadero In Paris $URL$ <end>,rumours
'500350150695743489,These 3 words say it all . #ferguson #MikeBrown $URL$ <end>,non-rumours
'553476880339599360,"DEVELOPING : Police pursuing #CharlieHebdo shooting suspects , helicopters deployed - LIVE FEED : $URL$ $URL$ <end>",rumours
'524986649315667968,Officer Wilson will not face any criminal charges in the #MichaelBrown shooting . He was defending himself . Be prepared people . <end>,non-rumours
'500413956230365185,"Murder math , #Ferguson edition . Via @KattPackAllDay ... I think . $URL$ <end>",non-rumours
'544358533819420672,BREAKING : Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing . $URL$ #sydneyseige <end>,rumours
'580325458870460416,#4U9525 UPDATE : 150 people were on board : 142 passengers and 8 crew members $URL$ <end>,rumours
'552834732325879809,White House @PressSec says shooting at #CharlieHebdo office seems to be an attack on freedom of press . #ParisShooting $URL$ <end>,non-rumours
'544305745416581120,Police stand guard as hostages are held in a cafe in Sydney . Follow AFP's LIVE REPORT : $URL$ $URL$ <end>,rumours
'552830151650967552," There are no jokes in Islam .  - Ayatollah Khomeini "" Every joke is a tiny revolution . "" - George Orwell #CharlieHebdo <end>",non-rumours
'498556324868009984,BREAKING : AG Eric Holder has instructed attorneys in the department's civil rights division to monitor developments in #Ferguson . - @AP <end>,non-rumours
'553134790925619201,Why we must not let the Isis propoganda machine win #CharlieHebdo #JeSuisCharlie $URL$ $URL$ <end>,non-rumours
'544300256981430272,Muslim extremists are always so open to reason and negotiation . This should end well . #sydneysiege <end>,non-rumours
'581290271997968384,GERMAN NEWS : Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT … ’ Hero of Islamic State ’ ? $URL$ via @gatewaypundit <end>,rumours
'544378468931076097,Photo of the moment a cafe worker escaped the #SydneySiege $URL$ via @TheHeraldSun STORY : $URL$ <end>,rumours
'552809042687819776,People who have actually died of being offended : 0 People who have died because others were offended : far too many . #CharlieHebdo <end>,non-rumours
